英文,中文(DM),中文(github),中文(内部),日文
tp_baidu,,,,tp_baidu
"If the number of tokens is more than the number of vectors, some may be skipped.\nLeave the textbox empty to start with zeroed out vectors",,,,トークンの数がベクターの数より多い場合、一部がスキップされることがあります。\nテキストボックスを空にしておくと、ゼロになったベクターからスタートします
(when reading generation parameters from text into UI),,,(当从外部复制生成参数的时候),
Load training option from saved json file. This will override settings above,,,,保存されたjsonファイルからトレーニングオプションを読み込みます。これは既存の設定を上書きします
Use half floats,,,使用半精度浮点,
Torch AdamW,,,,Torch AdamW
sd-parseq manifest,,,,sd-parseqマニフェスト
Select ControlNet input from random segmentation gallery. Choose 2 for Edit-Anything ControlNet.,,,选项1是为了以后ControlNet预留的现在没有功能，选项2是搭配Edit-Anything 使用的。,
to fix the issue.,修复,修复,修复,
"Ignore the negative prompt. Magic Prompt and I'm feeling lucky generate negative prompts by default, check this to disable that functionality.",忽略负面提示词\n魔法提示词和手气不错默认生成负面提示词，勾选此选项以禁用这种功能,忽略反向提示词\n魔法提示词和手气不错默认生成反向提示词，勾选此选项以禁用这种功能,忽略反向提示词\n魔法提示词和手气不错默认生成反向提示词，勾选此选项以禁用这种功能,
Only Hand,仅额外编辑手部骨架（隐藏脚）,,,
img2img folder,,,,img2imgフォルダ
"Separate a list of words with commas, and the first word will be used as a keyword: script will search for this word in the prompt, and replace it with others",以逗号分割的单词列表，第一个单词将被用作关键词：脚本将在提示词中搜索这个单词，并用其他单词替换它,以逗号分割的单词列表，第一个单词将被用作关键词：脚本将在提示词中搜索这个单词，并用其他单词替换它,以逗号分割的单词列表，第一个单词将被用作关键词：脚本将在提示词中搜索这个单词，并用其他单词替换它,
Just resize,拉伸,拉伸,拉伸,変形
mn,,,,mn
Cutoff Strong,,,,Cutoff 強く遮断
Sidebar default width,侧边栏默认宽度,,,
Cutoff Disable for Negative Prompt,,,,Cutoff ネガティブプロンプトでは無効化
Extract every nth frame,每第 n 帧提取一次,每第 n 帧提取一次,每第 n 帧提取一次,抽出時のフレーム間隔
Classification dataset directory (optional).,分类(Classification)数据集目录（可选）,分类(Classification)数据集目录（可选）,分类(Classification)数据集目录（可选）,
softshrink,softshrink,,,softshrink
ControlNet v1.1.273,扩散控制网络(ControlNet),,,
Loads weights from checkpoint before making images. You can either use hash or a part of filename (as seen in settings) for checkpoint name. Recommended to use with Y axis for less switching.,在生成图像之前从 Stable Diffusion 模型(ckpt) 中加载权重。你可以使用哈希值或文件名的一部分（如设置中所示）作为 Stable Diffusion 模型(ckpt) 名称。建议用在Y轴上以减少过程中模型的切换,在生成图像之前从模型(ckpt)中加载权重。你可以使用哈希值或文件名的一部分（如设置中所示）作为模型(ckpt)名称。建议用在Y轴上以减少过程中模型的切换,在生成图像之前从模型(ckpt)中加载权重。你可以使用哈希值或文件名的一部分（如设置中所示）作为模型(ckpt)名称。建议用在Y轴上以减少过程中模型的切换,画像を生成する前に、Checkpointからweights重みを読み込みます。Checkpoint名には、ハッシュまたはファイル名の一部を使用できます(設定で表示)。切り替えを少なくするには、Y軸での利用を推奨します。
Reload Cache List,重新加载缓存列表,,,
Please test on small images before actual upscale. Default params require denoise <= 0.6,放大前请先对小图像测试。默认参数需要重绘幅度小于0.6,,,
ckpt,,,,ckpt
Lora Weight,,,,LoRA Weights
UNet Weight 2,UNet 权重 2,UNet 权重 2,UNet 权重 2,UNetの重み 2
bottom-to-top,,,,下から上へ
Localization,,,本地化,
stable-diffusion-webui-randomize,随机化,随机化,随机化,stable-diffusion-webui-rembg
Randomize Width,随机化 宽度,随机化 宽度,随机化 宽度,
Copy to ControlNet Inpaint,将蒙版复制到 ControlNet 的局部重绘,,复制到ControlNet重绘,
X panning,沿 X 轴滚动,沿 X 轴滚动,沿 X 轴滚动,x軸方向へずらす
Maximum batch size,,,最大批处理大小,
ControlNet v1.1.192,扩散控制网络(ControlNet),,,
Split oversized images into two,将过大的图像分为两份,将过大的图像分为两份,将过大的图像分为两份,
DDIM ETA ? eta,,,,DDIM ETA ? eta
BSRGAN 4x,BSRGAN 4x,,,
Blacklist,黑名单（禁用tag自动填充）,黑名单（禁用tag自动填充）,黑名单（禁用tag自动填充）,ブラックリスト
OpenPose,,,姿态,
kmeans,,,,k平均法
Inter Denoise,,,,Inter Denoise
?,?,,,
